customer_id,archetype_true,order_date,order_value
0,low_value,2025-03-30,61.38
1,at_risk,2026-07-14,70.4
1,at_risk,2026-06-06,67.91
1,at_risk,2026-05-12,79.58
1,at_risk,2026-03-30,141.29
1,at_risk,2026-02-16,118.17
1,at_risk,2026-01-25,95.56
1,at_risk,2025-08-07,78.86
1,at_risk,2025-05-31,79.84
2,low_value,2026-06-30,42.99
2,low_value,2026-05-08,42.71
2,low_value,2026-04-22,47.14
2,low_value,2025-10-01,61.96
2,low_value,2025-06-26,72.55
2,low_value,2025-04-24,44.95
2,low_value,2025-03-31,61.31
3,low_value,2025-10-08,89.21
3,low_value,2025-10-05,42.56
4,loyal,2026-07-29,91.96
4,loyal,2026-07-25,161.2
4,loyal,2026-06-12,116.49
4,loyal,2026-04-09,134.15
4,loyal,2026-04-04,113.71
4,loyal,2026-03-31,92.4
4,loyal,2026-03-28,110.33
4,loyal,2026-02-24,153.08
4,loyal,2025-12-13,126.66
4,loyal,2025-11-16,58.66
4,loyal,2025-10-02,103.54
4,loyal,2025-09-26,163.47
4,loyal,2025-09-25,103.59
4,loyal,2025-08-25,55.99
4,loyal,2025-08-24,166.79
4,loyal,2025-08-17,130.47
4,loyal,2025-07-20,107.9
4,loyal,2025-06-14,98.86
4,loyal,2025-05-15,142.47
4,loyal,2025-03-14,93.74
5,low_value,2026-01-29,57.29
5,low_value,2025-10-28,57.62
5,low_value,2025-07-11,54.6
5,low_value,2025-06-02,53.15
5,low_value,2025-04-19,38.59
6,low_value,2026-06-22,85.41
6,low_value,2026-05-31,10.3
7,low_value,2026-04-25,52.18
7,low_value,2026-03-04,45.92
7,low_value,2026-01-24,71.56
7,low_value,2025-11-24,78.65
7,low_value,2025-10-23,67.67
7,low_value,2025-05-21,26.17
8,loyal,2026-06-30,107.8
8,loyal,2026-06-19,121.44
8,loyal,2026-03-30,85.53
8,loyal,2026-03-06,81.09
8,loyal,2026-02-07,147.99
8,loyal,2026-02-05,151.17
8,loyal,2025-11-21,80.27
8,loyal,2025-10-05,139.04
8,loyal,2025-08-25,107.39
8,loyal,2025-06-03,120.19
8,loyal,2025-03-14,123.81
9,new,2026-06-12,45.18
9,new,2026-05-04,65.09
9,new,2026-04-12,90.68
9,new,2026-04-01,36.73
9,new,2026-02-25,28.3
9,new,2026-01-15,90.59
9,new,2026-01-14,54.93
9,new,2025-11-03,60.19
9,new,2025-10-19,23.58
9,new,2025-08-17,53.03
9,new,2025-07-10,69.81
9,new,2025-05-31,93.26
9,new,2025-04-24,50.72
10,at_risk,2026-05-22,134.91
10,at_risk,2026-04-03,137.26
10,at_risk,2026-04-01,83.48
10,at_risk,2026-02-21,87.51
10,at_risk,2025-12-24,118.25
10,at_risk,2025-12-20,74.52
