date,units_sold
2023-09-01,232
2023-09-02,235
2023-09-03,307
2023-09-04,315
2023-09-05,299
2023-09-06,262
2023-09-07,243
2023-09-08,199
2023-09-09,260
2023-09-10,294
2023-09-11,269
2023-09-12,294
2023-09-13,250
2023-09-14,240
2023-09-15,215
2023-09-16,248
2023-09-17,289
2023-09-18,284
2023-09-19,298
2023-09-20,252
2023-09-21,234
2023-09-22,212
2023-09-23,267
2023-09-24,292
2023-09-25,295
2023-09-26,297
2023-09-27,275
2023-09-28,255
2023-09-29,192
2023-09-30,261
2023-10-01,390
2023-10-02,294
2023-10-03,265
2023-10-04,272
2023-10-05,198
2023-10-06,227
2023-10-07,266
2023-10-08,247
2023-10-09,288
2023-10-10,256
2023-10-11,251
2023-10-12,244
2023-10-13,250
2023-10-14,207
2023-10-15,262
2023-10-16,302
2023-10-17,304
2023-10-18,250
2023-10-19,200
2023-10-20,215
2023-10-21,234
2023-10-22,264
2023-10-23,272
2023-10-24,279
2023-10-25,243
2023-10-26,207
2023-10-27,201
2023-10-28,206
2023-10-29,254
2023-10-30,302
2023-10-31,263
2023-11-01,207
2023-11-02,227
2023-11-03,209
2023-11-04,262
2023-11-05,259
2023-11-06,266
2023-11-07,235
2023-11-08,251
2023-11-09,244
2023-11-10,179
2023-11-11,207
2023-11-12,262
2023-11-13,253
2023-11-14,250
2023-11-15,215
2023-11-16,277
2023-11-17,207
2023-11-18,212
2023-11-19,262
2023-11-20,254
2023-11-21,254
2023-11-22,176
2023-11-23,159
2023-11-24,195
2023-11-25,195
2023-11-26,249
2023-11-27,265
2023-11-28,266
2023-11-29,223
2023-11-30,197
2023-12-01,173
2023-12-02,186
2023-12-03,219
2023-12-04,240
2023-12-05,215
2023-12-06,191
2023-12-07,170
2023-12-08,172
2023-12-09,186
2023-12-10,191
2023-12-11,241
2023-12-12,233
2023-12-13,214
2023-12-14,175
2023-12-15,150
2023-12-16,173
2023-12-17,255
2023-12-18,249
2023-12-19,255
2023-12-20,226
2023-12-21,144
2023-12-22,162
2023-12-23,188
2023-12-24,223
2023-12-25,239
2023-12-26,219
2023-12-27,185
2023-12-28,125
2023-12-29,146
2023-12-30,160
2023-12-31,209
2024-01-01,215
2024-01-02,221
2024-01-03,191
2024-01-04,152
2024-01-05,148
2024-01-06,169
2024-01-07,193
2024-01-08,214
2024-01-09,195
2024-01-10,177
2024-01-11,141
2024-01-12,148
2024-01-13,138
2024-01-14,211
2024-01-15,198
2024-01-16,335
2024-01-17,162
2024-01-18,126
2024-01-19,138
2024-01-20,254
2024-01-21,171
2024-01-22,283
2024-01-23,218
2024-01-24,161
2024-01-25,110
2024-01-26,128
2024-01-27,125
2024-01-28,219
2024-01-29,176
2024-01-30,199
2024-01-31,167
2024-02-01,101
2024-02-02,130
2024-02-03,167
2024-02-04,192
2024-02-05,205
2024-02-06,204
2024-02-07,301
2024-02-08,131
2024-02-09,119
2024-02-10,158
2024-02-11,163
2024-02-12,212
2024-02-13,176
2024-02-14,132
2024-02-15,129
2024-02-16,150
2024-02-17,162
2024-02-18,169
2024-02-19,208
2024-02-20,175
2024-02-21,147
2024-02-22,122
2024-02-23,76
2024-02-24,147
2024-02-25,159
2024-02-26,182
2024-02-27,156
2024-02-28,122
2024-02-29,103
2024-03-01,132
2024-03-02,173
2024-03-03,177
2024-03-04,214
2024-03-05,177
2024-03-06,115
2024-03-07,123
2024-03-08,126
2024-03-09,136
2024-03-10,183
2024-03-11,206
2024-03-12,168
2024-03-13,124
2024-03-14,118
2024-03-15,115
2024-03-16,138
2024-03-17,197
2024-03-18,228
2024-03-19,177
2024-03-20,165
2024-03-21,141
2024-03-22,134
2024-03-23,166
2024-03-24,175
2024-03-25,213
2024-03-26,224
2024-03-27,169
2024-03-28,115
2024-03-29,135
2024-03-30,173
2024-03-31,192
2024-04-01,193
2024-04-02,219
2024-04-03,136
2024-04-04,139
2024-04-05,128
2024-04-06,133
2024-04-07,211
2024-04-08,213
2024-04-09,174
2024-04-10,173
2024-04-11,127
2024-04-12,98
2024-04-13,146
2024-04-14,198
2024-04-15,223
2024-04-16,203
2024-04-17,168
2024-04-18,148
2024-04-19,134
2024-04-20,185
2024-04-21,202
2024-04-22,223
2024-04-23,215
2024-04-24,154
2024-04-25,133
2024-04-26,171
2024-04-27,176
2024-04-28,200
2024-04-29,230
2024-04-30,203
2024-05-01,185
2024-05-02,140
2024-05-03,155
2024-05-04,148
2024-05-05,236
2024-05-06,221
2024-05-07,190
2024-05-08,182
2024-05-09,152
2024-05-10,160
2024-05-11,163
2024-05-12,226
2024-05-13,302
2024-05-14,203
2024-05-15,200
2024-05-16,160
2024-05-17,168
2024-05-18,158
2024-05-19,205
2024-05-20,253
2024-05-21,232
2024-05-22,230
2024-05-23,161
2024-05-24,175
2024-05-25,251
2024-05-26,220
2024-05-27,236
2024-05-28,240
2024-05-29,208
2024-05-30,196
2024-05-31,182
2024-06-01,192
2024-06-02,245
2024-06-03,307
2024-06-04,271
2024-06-05,166
2024-06-06,186
2024-06-07,171
2024-06-08,225
2024-06-09,246
2024-06-10,302
2024-06-11,273
2024-06-12,240
2024-06-13,200
2024-06-14,194
2024-06-15,227
2024-06-16,280
2024-06-17,285
2024-06-18,258
2024-06-19,255
2024-06-20,208
2024-06-21,201
2024-06-22,215
2024-06-23,254
2024-06-24,271
2024-06-25,221
2024-06-26,258
2024-06-27,222
2024-06-28,206
2024-06-29,255
2024-06-30,280
2024-07-01,297
2024-07-02,234
2024-07-03,242
2024-07-04,228
2024-07-05,246
2024-07-06,276
2024-07-07,304
