week,spend_search_ads,spend_social_ads,spend_display_ads,spend_tv,spend_email,revenue
2024-09-01,10030.0,9729.0,5337.0,11448.0,7355.0,126686.0
2024-09-08,8769.0,6441.0,5298.0,6509.0,9921.0,144600.0
2024-09-15,10085.0,3971.0,7798.0,5916.0,6613.0,132409.0
2024-09-22,4220.0,5086.0,10884.0,6537.0,5770.0,120622.0
2024-09-29,9924.0,9276.0,6147.0,10689.0,9217.0,149468.0
2024-10-06,13903.0,8525.0,9157.0,12684.0,12212.0,172832.0
2024-10-13,8203.0,11065.0,14351.0,10871.0,9854.0,156198.0
2024-10-20,4935.0,7548.0,9239.0,5249.0,10340.0,153760.0
2024-10-27,14559.0,10479.0,6798.0,7972.0,8219.0,160177.0
2024-11-03,11543.0,8107.0,13404.0,9382.0,11295.0,170416.0
2024-11-10,6134.0,12736.0,14321.0,7009.0,12643.0,167339.0
2024-11-17,11711.0,3959.0,12578.0,14767.0,4799.0,142841.0
2024-11-24,15506.0,10784.0,7703.0,12166.0,15327.0,188599.0
2024-12-01,6349.0,10771.0,9753.0,12104.0,8957.0,159128.0
2024-12-08,13839.0,4564.0,7633.0,6779.0,9232.0,164621.0
2024-12-15,11949.0,12710.0,14541.0,10004.0,9588.0,168304.0
2024-12-22,6358.0,11087.0,3941.0,6482.0,12211.0,167788.0
2024-12-29,5852.0,14498.0,13640.0,7407.0,9085.0,154683.0
2025-01-05,14292.0,5778.0,6602.0,12321.0,10431.0,165701.0
2025-01-12,7326.0,8245.0,5219.0,6340.0,6863.0,143921.0
2025-01-19,8224.0,12721.0,12452.0,10785.0,6234.0,145515.0
2025-01-26,10224.0,13202.0,11628.0,5940.0,8748.0,160289.0
2025-02-02,7760.0,10217.0,3746.0,11300.0,4544.0,135036.0
2025-02-09,3240.0,6663.0,6101.0,4792.0,3692.0,116900.0
2025-02-16,5568.0,10105.0,4010.0,11418.0,9791.0,142963.0
2025-02-23,7286.0,7124.0,9772.0,3484.0,4326.0,123109.0
2025-03-02,9532.0,7558.0,10775.0,4761.0,8337.0,145120.0
2025-03-09,7871.0,8464.0,5232.0,8295.0,10501.0,152934.0
2025-03-16,6149.0,10174.0,5550.0,5577.0,9396.0,145177.0
2025-03-23,4061.0,2650.0,2838.0,3845.0,3407.0,109098.0
2025-03-30,8337.0,7704.0,3235.0,3605.0,5961.0,121950.0
2025-04-06,3743.0,8976.0,2858.0,6159.0,6362.0,122082.0
2025-04-13,7354.0,4923.0,7357.0,4459.0,4722.0,121587.0
2025-04-20,5610.0,3850.0,3652.0,8348.0,4734.0,114082.0
2025-04-27,5830.0,5946.0,5263.0,7112.0,8495.0,131576.0
2025-05-04,4628.0,2345.0,3897.0,5312.0,3168.0,104814.0
2025-05-11,3411.0,7240.0,5426.0,6267.0,7521.0,119178.0
2025-05-18,3175.0,5184.0,5603.0,3516.0,7036.0,118465.0
2025-05-25,6143.0,6283.0,4286.0,4818.0,3260.0,106538.0
2025-06-01,3861.0,7051.0,3781.0,7228.0,4456.0,114754.0
2025-06-08,2228.0,2263.0,7958.0,7923.0,5504.0,108470.0
2025-06-15,3433.0,3414.0,8279.0,3145.0,8076.0,118070.0
2025-06-22,8381.0,5017.0,5349.0,4367.0,2230.0,104054.0
2025-06-29,7181.0,6481.0,5024.0,7606.0,8442.0,135807.0
2025-07-06,6482.0,4966.0,6042.0,4398.0,2766.0,111180.0
2025-07-13,5401.0,4494.0,6430.0,4936.0,4648.0,114385.0
2025-07-20,8781.0,2735.0,9847.0,3289.0,2568.0,107198.0
2025-07-27,4729.0,6031.0,6080.0,9272.0,10327.0,136997.0
2025-08-03,7969.0,10496.0,5580.0,3658.0,10680.0,148510.0
2025-08-10,2961.0,3115.0,11004.0,8645.0,6577.0,127184.0
2025-08-17,8723.0,8317.0,8750.0,3791.0,9294.0,144684.0
2025-08-24,12076.0,4970.0,4323.0,5526.0,3550.0,131815.0
2025-08-31,9980.0,12503.0,8435.0,12063.0,8505.0,153118.0
2025-09-07,4062.0,11292.0,11410.0,4492.0,6752.0,137702.0
2025-09-14,9447.0,5611.0,9173.0,11417.0,9038.0,153967.0
2025-09-21,6830.0,13706.0,6273.0,5783.0,6729.0,139942.0
2025-09-28,13500.0,6944.0,7501.0,12453.0,10758.0,166251.0
